StateAbbr,StateDesc,PlaceName,PlaceFIPS,TotalPopulation,CSMOKING_CrudePrev,DEPRESSION_CrudePrev,OBESITY_CrudePrev,Longitude,Latitude
MA,Massachusetts,Fitchburg,2523875,40318,17.5,20.2,31.8,-71.81560139,42.59124027
MA,Massachusetts,Oxford,2551790,6103,17,20.2,31,-71.869584,42.11755612
MA,Massachusetts,Winchendon,2580370,4213,16.6,20.2,29.9,-72.04362942,42.68093061
MA,Massachusetts,North Brookfield,2547100,2265,15.5,20.2,29.5,-72.08421064,42.2711685
MA,Massachusetts,Salem,2559105,41340,13.6,20.2,26.6,-70.90703711,42.51063016
MA,Massachusetts,Dennis Port,2516810,3162,14.8,20.1,27.5,-70.13591543,41.66786877
MA,Massachusetts,Wareham Center,2573020,2896,17.3,20.1,27.4,-70.71476824,41.74248877
MA,Massachusetts,Chelsea,2513205,35177,17.3,20.1,26.1,-71.03256054,42.39651684
MA,Massachusetts,Amesbury Town,2501260,16283,13.5,20.1,26,-70.94463206,42.85294806
MA,Massachusetts,Middleborough Center,2540885,7319,17.7,20.1,25.7,-70.92606375,41.89454121
MA,Massachusetts,South Deerfield,2563620,1880,13.1,20.1,25.1,-72.59474728,42.47953952
MA,Massachusetts,Mansfield Center,2538230,7360,11.8,20.1,23.5,-71.21805564,42.02249279
MA,Massachusetts,South Amherst,2562675,4994,9.2,20.1,18.9,-72.5194505,42.33891112
MA,Massachusetts,Clinton,2514430,7389,16.6,20,31.5,-71.6855346,42.41821744
MA,Massachusetts,North Plymouth,2548780,3600,18,20,26.2,-70.68895256,41.97288385
MA,Massachusetts,Worcester,2582000,181045,17.3,19.9,32.2,-71.80794075,42.27054324
MA,Massachusetts,Baldwinville,2503355,2028,16.1,19.9,29.7,-72.07713813,42.60482143
MA,Massachusetts,Whitinsville,2579495,6704,15.1,19.9,29.3,-71.66886415,42.1145316
MA,Massachusetts,Saugus,2560050,26637,14.7,19.9,26.6,-71.01546385,42.46883505
MA,Massachusetts,West Yarmouth,2578795,6012,14.5,19.9,26.1,-70.24714497,41.65219302
MA,Massachusetts,East Pepperell,2520310,2059,12.5,19.9,23.4,-71.56341072,42.66532511
MA,Massachusetts,Boston,2507000,617594,13.1,19.9,21.9,-71.10225136,42.30916082
MA,Massachusetts,Milford,2541200,25055,16.4,19.8,30.4,-71.51670712,42.14771054
MA,Massachusetts,Lynn,2537490,90329,17.5,19.8,30.1,-70.96622762,42.47834849
MA,Massachusetts,Gloucester,2526150,28789,13.7,19.8,26.6,-70.68995999,42.62516712
MA,Massachusetts,East Falmouth,2518980,6038,14.3,19.8,26.5,-70.55602673,41.57118131
MA,Massachusetts,Monument Beach,2542670,2790,13.1,19.8,26,-70.6021199,41.72062645
MA,Massachusetts,Sagamore,2558965,3623,13.2,19.8,25.6,-70.53346939,41.79040073
