GEO_ID,NAME,DATA
Geography,Geographic Area Name,Median Income
25005600203,"Census Tract 6002.03, Bristol County, Massachusetts",170847
25005600204,"Census Tract 6002.04, Bristol County, Massachusetts",151250
25005610100,"Census Tract 6101, Bristol County, Massachusetts",93663
25005610202,"Census Tract 6102.02, Bristol County, Massachusetts",150920
25005610203,"Census Tract 6102.03, Bristol County, Massachusetts",179130
25005610204,"Census Tract 6102.04, Bristol County, Massachusetts",141050
25005611101,"Census Tract 6111.01, Bristol County, Massachusetts",121328
25005611102,"Census Tract 6111.02, Bristol County, Massachusetts",149570
25005611201,"Census Tract 6112.01, Bristol County, Massachusetts",124059
25005611202,"Census Tract 6112.02, Bristol County, Massachusetts",120475
25005612100,"Census Tract 6121, Bristol County, Massachusetts",122159
25005612201,"Census Tract 6122.01, Bristol County, Massachusetts",95433
25005612202,"Census Tract 6122.02, Bristol County, Massachusetts",133869
25005613100,"Census Tract 6131, Bristol County, Massachusetts",74352
25005613300,"Census Tract 6133, Bristol County, Massachusetts",103618
25005613400,"Census Tract 6134, Bristol County, Massachusetts",116029
25005613600,"Census Tract 6136, Bristol County, Massachusetts",45785
25005613700,"Census Tract 6137, Bristol County, Massachusetts",82679
25005613800,"Census Tract 6138, Bristol County, Massachusetts",56964
25005613901,"Census Tract 6139.01, Bristol County, Massachusetts",59057
25005613902,"Census Tract 6139.02, Bristol County, Massachusetts",104420
25005614000,"Census Tract 6140, Bristol County, Massachusetts",48409
25005614101,"Census Tract 6141.01, Bristol County, Massachusetts",88036
25005614102,"Census Tract 6141.02, Bristol County, Massachusetts",104565
25005615100,"Census Tract 6151, Bristol County, Massachusetts",111039
25005616100,"Census Tract 6161, Bristol County, Massachusetts",114363
25005617101,"Census Tract 6171.01, Bristol County, Massachusetts",122955
25005617102,"Census Tract 6171.02, Bristol County, Massachusetts",121683
25005630101,"Census Tract 6301.01, Bristol County, Massachusetts",87176
25005630102,"Census Tract 6301.02, Bristol County, Massachusetts",96840
25005630201,"Census Tract 6302.01, Bristol County, Massachusetts",151974
25005630202,"Census Tract 6302.02, Bristol County, Massachusetts",151693
25005630301,"Census Tract 6303.01, Bristol County, Massachusetts",156020
25005630302,"Census Tract 6303.02, Bristol County, Massachusetts",113571
25005630400,"Census Tract 6304, Bristol County, Massachusetts",140266
25005631101,"Census Tract 6311.01, Bristol County, Massachusetts",88983
25005631102,"Census Tract 6311.02, Bristol County, Massachusetts",86250
25005631200,"Census Tract 6312, Bristol County, Massachusetts",130912
25005631300,"Census Tract 6313, Bristol County, Massachusetts",122083
25005631400,"Census Tract 6314, Bristol County, Massachusetts",48115
25005631500,"Census Tract 6315, Bristol County, Massachusetts",68813
25005631600,"Census Tract 6316, Bristol County, Massachusetts",70938
25005631700,"Census Tract 6317, Bristol County, Massachusetts",122138
25005631800,"Census Tract 6318, Bristol County, Massachusetts",101936
25005632100,"Census Tract 6321, Bristol County, Massachusetts",124688
25005632200,"Census Tract 6322, Bristol County, Massachusetts",113319
25005633100,"Census Tract 6331, Bristol County, Massachusetts",117153
25005633200,"Census Tract 6332, Bristol County, Massachusetts",136076
25005640100,"Census Tract 6401, Bristol County, Massachusetts",77063
25005640201,"Census Tract 6402.01, Bristol County, Massachusetts",33792
