GEO_ID,NAME,S1901_C02_012E,field_259
Geography,Geographic Area Name,Estimate!!Families!!Median income (dollars),
1400000US25003931300,"Census Tract 9313, Berkshire County, Massachusetts","74750",
1400000US25003931400,"Census Tract 9314, Berkshire County, Massachusetts","104231",
1400000US25003932200,"Census Tract 9322, Berkshire County, Massachusetts","81313",
1400000US25003932300,"Census Tract 9323, Berkshire County, Massachusetts","83320",
1400000US25003933200,"Census Tract 9332, Berkshire County, Massachusetts","155417",
1400000US25003933300,"Census Tract 9333, Berkshire County, Massachusetts","109167",
1400000US25003933400,"Census Tract 9334, Berkshire County, Massachusetts","94853",
1400000US25003934200,"Census Tract 9342, Berkshire County, Massachusetts","97554",
1400000US25003934300,"Census Tract 9343, Berkshire County, Massachusetts","108750",
1400000US25003935100,"Census Tract 9351, Berkshire County, Massachusetts","103646",
1400000US25003935200,"Census Tract 9352, Berkshire County, Massachusetts","88993",
1400000US25003935300,"Census Tract 9353, Berkshire County, Massachusetts","65688",
1400000US25005600100,"Census Tract 6001, Bristol County, Massachusetts","129345",
1400000US25005600202,"Census Tract 6002.02, Bristol County, Massachusetts","111214",
1400000US25005600203,"Census Tract 6002.03, Bristol County, Massachusetts","170847",
1400000US25005600204,"Census Tract 6002.04, Bristol County, Massachusetts","151250",
1400000US25005610100,"Census Tract 6101, Bristol County, Massachusetts","93663",
1400000US25005610202,"Census Tract 6102.02, Bristol County, Massachusetts","150920",
1400000US25005610203,"Census Tract 6102.03, Bristol County, Massachusetts","179130",
1400000US25005610204,"Census Tract 6102.04, Bristol County, Massachusetts","141050",
1400000US25005611101,"Census Tract 6111.01, Bristol County, Massachusetts","121328",
1400000US25005611102,"Census Tract 6111.02, Bristol County, Massachusetts","149570",
1400000US25005611201,"Census Tract 6112.01, Bristol County, Massachusetts","124059",
1400000US25005611202,"Census Tract 6112.02, Bristol County, Massachusetts","120475",
1400000US25005612100,"Census Tract 6121, Bristol County, Massachusetts","122159",
1400000US25005612201,"Census Tract 6122.01, Bristol County, Massachusetts","95433",
1400000US25005612202,"Census Tract 6122.02, Bristol County, Massachusetts","133869",
1400000US25005613100,"Census Tract 6131, Bristol County, Massachusetts","74352",
1400000US25005613300,"Census Tract 6133, Bristol County, Massachusetts","103618",
1400000US25005613400,"Census Tract 6134, Bristol County, Massachusetts","116029",
1400000US25005613600,"Census Tract 6136, Bristol County, Massachusetts","45785",
1400000US25005613700,"Census Tract 6137, Bristol County, Massachusetts","82679",
1400000US25005613800,"Census Tract 6138, Bristol County, Massachusetts","56964",
1400000US25005613901,"Census Tract 6139.01, Bristol County, Massachusetts","59057",
1400000US25005613902,"Census Tract 6139.02, Bristol County, Massachusetts","104420",
1400000US25005614000,"Census Tract 6140, Bristol County, Massachusetts","48409",
1400000US25005614101,"Census Tract 6141.01, Bristol County, Massachusetts","88036",
1400000US25005614102,"Census Tract 6141.02, Bristol County, Massachusetts","104565",
1400000US25005615100,"Census Tract 6151, Bristol County, Massachusetts","111039",
1400000US25005616100,"Census Tract 6161, Bristol County, Massachusetts","114363",
1400000US25005617101,"Census Tract 6171.01, Bristol County, Massachusetts","122955",
1400000US25005617102,"Census Tract 6171.02, Bristol County, Massachusetts","121683",
1400000US25005630101,"Census Tract 6301.01, Bristol County, Massachusetts","87176",
1400000US25005630102,"Census Tract 6301.02, Bristol County, Massachusetts","96840",
1400000US25005630201,"Census Tract 6302.01, Bristol County, Massachusetts","151974",
1400000US25005630202,"Census Tract 6302.02, Bristol County, Massachusetts","151693",
1400000US25005630301,"Census Tract 6303.01, Bristol County, Massachusetts","156020",
1400000US25005630302,"Census Tract 6303.02, Bristol County, Massachusetts","113571",
1400000US25005630400,"Census Tract 6304, Bristol County, Massachusetts","140266",
1400000US25005631101,"Census Tract 6311.01, Bristol County, Massachusetts","88983",
1400000US25005631102,"Census Tract 6311.02, Bristol County, Massachusetts","86250",
1400000US25005631200,"Census Tract 6312, Bristol County, Massachusetts","130912",
1400000US25005631300,"Census Tract 6313, Bristol County, Massachusetts","122083",
1400000US25005631400,"Census Tract 6314, Bristol County, Massachusetts","48115",
1400000US25005631500,"Census Tract 6315, Bristol County, Massachusetts","68813",
1400000US25005631600,"Census Tract 6316, Bristol County, Massachusetts","70938",
1400000US25005631700,"Census Tract 6317, Bristol County, Massachusetts","122138",
1400000US25005631800,"Census Tract 6318, Bristol County, Massachusetts","101936",
1400000US25005632100,"Census Tract 6321, Bristol County, Massachusetts","124688",
1400000US25005632200,"Census Tract 6322, Bristol County, Massachusetts","113319",
1400000US25005633100,"Census Tract 6331, Bristol County, Massachusetts","117153",
1400000US25005633200,"Census Tract 6332, Bristol County, Massachusetts","136076",
1400000US25005640100,"Census Tract 6401, Bristol County, Massachusetts","77063",
1400000US25005640201,"Census Tract 6402.01, Bristol County, Massachusetts","33792",
1400000US25005640202,"Census Tract 6402.02, Bristol County, Massachusetts","39583",
1400000US25005640300,"Census Tract 6403, Bristol County, Massachusetts","71734",
1400000US25005640400,"Census Tract 6404, Bristol County, Massachusetts","-",
1400000US25005640500,"Census Tract 6405, Bristol County, Massachusetts","63125",
1400000US25005640600,"Census Tract 6406, Bristol County, Massachusetts","55179",
1400000US25005640700,"Census Tract 6407, Bristol County, Massachusetts","82617",
1400000US25005640800,"Census Tract 6408, Bristol County, Massachusetts","85608",
1400000US25005640901,"Census Tract 6409.01, Bristol County, Massachusetts","69260",
1400000US25005641000,"Census Tract 6410, Bristol County, Massachusetts","42857",
1400000US25005641101,"Census Tract 6411.01, Bristol County, Massachusetts","-",
1400000US25005641200,"Census Tract 6412, Bristol County, Massachusetts","33235",
1400000US25005641300,"Census Tract 6413, Bristol County, Massachusetts","31375",
1400000US25005641400,"Census Tract 6414, Bristol County, Massachusetts","45219",
1400000US25005641500,"Census Tract 6415, Bristol County, Massachusetts","70795",
1400000US25005641600,"Census Tract 6416, Bristol County, Massachusetts","52417",
1400000US25005641700,"Census Tract 6417, Bristol County, Massachusetts","82284",
1400000US25005641800,"Census Tract 6418, Bristol County, Massachusetts","67009",
1400000US25005641900,"Census Tract 6419, Bristol County, Massachusetts","37417",
1400000US25005642000,"Census Tract 6420, Bristol County, Massachusetts","36915",
